num,address,birth,createDate,department,education,email,mbti,password,phone,role,gender,status,univ,username,
1,53,2000-07-06,10:32.5,정보통신공학과,univ,dksudi76@gmail.com,ENFP,$2a$10$qK4QrG4eT7kYdSaGH9.U4ujx.JMiTjIbG0PlDxY80YkfhYqG/vUDy,010-4013-4649,ROLE_USER,female,univ,영남대학교,dain,
2,61,2022-11-30,42:17.0,,high_gradu,dksudi76@naver.com,ISFP,$2a$10$O7CMGmuU4Q8.OaI3X/.Os..gT.CyWdSxhwmyFIunEDEI/lgLlh4/G,010-4013-4649,ROLE_USER,female,,,inni,
3,55,2002-12-13,52:03.3,정보통신공학과,univ,dksudi76@gmail.com,ENTP,$2a$10$SNIrpDRoHPBAlCVgjTjb6eDv/HrYGt9bkYWtKbuObOx96dtqGxVD6,010-4013-4649,ROLE_USER,female,univ,영남대학교,dain,
4,32,2002-11-10,53:06.0,정보통신공학과,univ,dksudi76@naver.com,ESTJ,$2a$10$/lQkZGYXHsRnRSnv7WMEVucZ0JXArHLTZVgT3Dwyy5VQgs.1ORLNW,010-4013-4649,ROLE_USER,female,univ,영남대학교,new,
5,61,2000-07-06,54:27.6,컴퓨터공학과,univ,dksudi76@naver.com,ENFP,$2a$10$BcqUJiYgdL5eXl.8/enBTOTd7ge7ZFcZYuqJ4NChuTZJfm4YENSJ6,010-1234-1234,ROLE_USER,male,univ_ing,계명대학교,qqq,
6,61,2022-12-20,47:45.0,,high_gradu,dksudi76@gmail.com,ESTJ,$2a$10$.sEFpcQvM9XhDnPcmS9KaeCSUqG/oanpDGQdO47dsUER1OTEYVT/.,010-4013-4649,ROLE_USER,female,,,qq,
7,31,1978-01-02,54:00.9,,high_gradu,ss@naver.com,ESFJ,$2a$10$m.J5IQMDa/uftRUSjZKYbezW8oEyzpPxdaLSuNnle6sY/iZ9HQSNi,010-4013-4649,ROLE_USER,female,,,rlkladksl,
8,61,1999-12-07,57:13.4,언론정보학과,univ,ssa@naver.com,ENFP,$2a$10$OKqVc3CqycTQVtkaKZJan.fo3SUIAFTedmpa0gmXCPwY8t/5bbHvy,010-1234-5678,ROLE_USER,female,univ,전남대학교,sdfaew,
9,51,1999-12-12,14:14.1,통계학과,univ,ssa@naver.com,ESTJ,$2a$10$6Yu81UlSKgea1Bh/vb9s0ecvX7GzhTH/z/PN0Hd5i0bHcaTG/na..,010-4013-4649,ROLE_USER,female,univ_gradu,부산대학교,dasksdkdl,
10,61,1997-01-05,15:02.7,교육학과,univ,ssa@naver.com,ENFP,$2a$10$1SQeETyQacMLSQ.b6iBFB.GZIhcN35p3I4i0n6OAx.Olim2Oq2dna,010-1234-5678,ROLE_USER,female,univ_gradu,전남대학교,wlkdla,
11,64,1996-01-05,16:14.1,화학공학과,univ,kk@gmail.com,ISTP,$2a$10$75CAEsXHAJowi3d73M4aGuMxRQtjvD8FS.BLGXop6GWDMU5O.xUIO,010-1234-5678,ROLE_USER,null,univ_ing,제주대학교,qwer,
12,62,1996-01-09,11:45.9,,high_gradu,ssar@naver.com,ESTJ,$2a$10$I422QvCxRhdTWsPdgC1hA.1RvNXj6QIzfVUMu3p10pqn2DXg/Qtvm,010-1234-1234,ROLE_USER,null,,,dlsowei,
13,55,2010-09-08,12:35.0,기계공학과,univ,kim@naver.com,INTJ,$2a$10$J7UXN9nVBPGsIj4HWndFjew3Sull5Lrd24Jd3lzxYcaB3J8YGOp5m,010-5486-2456,ROLE_USER,null,univ_ing,경기대학교,swewwer,
14,32,2022-12-01,15:23.6,,high_gradu,dksudi76@naver.com,ISFJ,$2a$10$6RXPaWm0eHGiR5OpI6.Yhu2N3wPyzpM2hOXtdZbBNcy0F.0NbTaem,010-4013-4649,ROLE_USER,female,,,qwedsda,
15,2,2002-06-07,16:10.2,기계공학과,univ,ssa@naver.com,INTJ,$2a$10$gB7D58N6IuTkf0QADvraiOyNIOmoVuAk.WW.koh2QQwaP50NDssL2,010-5486-2456,ROLE_USER,male,univ,서울대학교,awerq,
16,52,2022-12-02,16:52.3,국어국문학과,univ,ssar@naver.com,ISTP,$2a$10$U3WDF..kSUpgeZDHolZuyOlbn/y6vXRmakviKgB5tkcbY2taNbnES,010-1234-1234,ROLE_USER,female,univ_ing,울산대학교,clsekdls,
17,54,2022-12-02,17:33.2,,high_gradu,ssar@naver.com,ISFP,$2a$10$GeTFYRRX2ScpaSR1ha1vdeEBpU4y5PSN5phEcDl5kI1FTuTQQdxhi,010-1234-1234,ROLE_USER,female,,,akwdls,
18,51,2022-12-03,20:11.8,컴퓨터공학과,univ,ssa@naver.com,INFJ,$2a$10$QeKGMRHyrhPGjNH9oEFyF.EELAeGgJzRel0Kxd7Mwb5qupZUhqEnO,010-1234-1234,ROLE_USER,female,univ_gradu,부경대학교,dadfawerfda,
19,55,2022-11-25,20:36.0,,high_gradu,ssar@naver.com,ESTJ,$2a$10$fK93lnS2psRktt1hl0y5H.ObXMnnNd7CTzGBDRg97oLmK8Yz5AaDu,010-5486-2456,ROLE_USER,female,,,serkld,
